name,actual,values,predicted
"Proence Weight Gainers, Mass Gainers",food  nutrition,"[0.5576923076923077, 0.46153846153846156, 0.40384615384615385, 0.23076923076923078, 0.4423076923076923, 0.34615384615384615, 0.6346153846153846, 0.28846153846153844, 0.6153846153846154, 0.46153846153846156, 0.3269230769230769, 0.3269230769230769, 0.4807692307692308, 0.4423076923076923, 0.9038461538461539, 0.3076923076923077, 0.38461538461538464, 0.4423076923076923, 0.5384615384615384, 0.40384615384615385, 0.5192307692307693, 0.21153846153846154, 0.3076923076923077, 0.3269230769230769, 0.28846153846153844, 0.0, 0.15384615384615385, 0.28846153846153844, 0.1346153846153846, 0.21153846153846154, 0.07692307692307693, 0.09615384615384616]",food  nutrition
Whirlpool Affresh Cooktop Cleaner Kitchen Cleaner,household supplies,"[0.5333333333333333, 0.35555555555555557, 0.35555555555555557, 0.24444444444444444, 0.4666666666666667, 0.37777777777777777, 0.5333333333333333, 0.3333333333333333, 0.5333333333333333, 0.5333333333333333, 0.4, 0.4444444444444444, 0.5333333333333333, 0.4888888888888889, 0.1111111111111111, 0.3111111111111111, 0.4666666666666667, 0.4888888888888889, 0.6222222222222222, 0.4444444444444444, 0.4444444444444444, 0.17777777777777778, 0.24444444444444444, 0.28888888888888886, 0.3333333333333333, 0.0, 0.13333333333333333, 0.2222222222222222, 0.08888888888888889, 0.15555555555555556, 0.1111111111111111, 0.5555555555555556]",kitchen  dining
"Port Monk Volleyball -   Size: 5,  Diameter: 22 cm",sports  fitness,"[0.5, 0.5, 0.75, 0.375, 0.75, 0.75, 0.625, 0.5, 0.875, 0.75, 0.75, 0.625, 0.625, 0.75, 0.125, 0.625, 0.75, 0.625, 0.625, 0.25, 0.5, 0.625, 0.5, 0.125, 0.5, 0.125, 0.5, 0.5, 0.375, 0.375, 0.25, 0.0]",home decor  festive needs
Pawzone Round Stainless Steel Pet Bowl,pet supplies,"[0.84375, 0.84375, 0.5625, 1.0, 0.84375, 0.84375, 0.78125, 0.625, 0.84375, 0.875, 0.8125, 0.78125, 0.8125, 0.75, 0.1875, 0.625, 0.75, 0.84375, 0.84375, 0.65625, 0.71875, 0.625, 0.625, 0.4375, 0.84375, 0.0, 0.5, 0.4375, 0.28125, 0.4375, 0.03125, 0.21875]",pet supplies
"ezyPRNT ""RH"" Golf Ball -   Size: 4.26 cm,  Diameter: 4.26 cm",sports  fitness,"[0.8095238095238095, 0.5476190476190477, 0.5952380952380952, 0.40476190476190477, 0.7142857142857143, 0.9761904761904762, 0.6666666666666666, 0.6904761904761905, 0.8809523809523809, 0.6190476190476191, 0.6190476190476191, 0.7619047619047619, 0.6666666666666666, 0.6904761904761905, 0.07142857142857142, 0.6190476190476191, 0.7142857142857143, 0.7380952380952381, 0.6904761904761905, 0.5238095238095238, 0.7142857142857143, 0.40476190476190477, 0.4523809523809524, 0.40476190476190477, 0.5, 0.0, 0.2857142857142857, 0.42857142857142855, 0.14285714285714285, 0.30952380952380953, 0.14285714285714285, 0.19047619047619047]",sports  fitness
Quartz 15265662 Smart Watch Strap,wearable smart devices,"[1.0, 0.6, 0.8, 0.4, 0.6, 0.6, 0.6, 0.8, 0.8, 0.8, 0.8, 0.4, 1.0, 1.0, 0.0, 1.0, 0.8, 0.8, 0.8, 0.4, 1.0, 0.6, 0.4, 0.4, 0.4, 0.6, 0.2, 0.4, 0.6, 0.0, 0.4, 0.2]",clothing
The Discarded Image: An Introduction to Medieval and Renaissance Literature,ebooks,"[0.375, 0.375, 0.25, 0.25, 0.375, 0.25, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.375, 0.0, 0.375, 0.375, 0.625, 0.375, 0.375, 0.375, 0.375, 0.125, 0.25, 0.25, 0.25, 0.125, 0.375, 0.0, 0.0, 0.375, 0.125]",jewellery
Puma evoSPEED HPI Willow Cricket  Bat,sports  fitness,"[0.7222222222222222, 0.5, 0.5416666666666666, 0.3333333333333333, 0.5555555555555556, 0.6944444444444444, 0.5833333333333334, 0.4861111111111111, 0.6527777777777778, 0.6666666666666666, 0.5277777777777778, 0.5555555555555556, 0.5277777777777778, 0.6111111111111112, 0.027777777777777776, 0.4722222222222222, 0.5, 0.5416666666666666, 0.6666666666666666, 0.3611111111111111, 0.625, 0.3194444444444444, 0.375, 0.2777777777777778, 0.4444444444444444, 0.0, 0.2638888888888889, 0.3194444444444444, 0.09722222222222222, 0.20833333333333334, 0.1527777777777778, 0.125]",clothing
Shreewardhan Decor Add a lively touch of artificial to your decor with these Succulent offwhite Ceramic Baskets Plant Plant Container Set,tools  hardware,"[0.7543859649122807, 0.49122807017543857, 0.49122807017543857, 0.24561403508771928, 0.543859649122807, 0.40350877192982454, 0.6491228070175439, 0.5263157894736842, 0.7368421052631579, 0.5087719298245614, 0.5614035087719298, 0.5263157894736842, 0.543859649122807, 0.5789473684210527, 0.03508771929824561, 0.3684210526315789, 0.5087719298245614, 0.6491228070175439, 0.631578947368421, 0.3333333333333333, 0.45614035087719296, 0.24561403508771928, 0.2631578947368421, 0.19298245614035087, 0.43859649122807015, 0.017543859649122806, 0.08771929824561403, 0.21052631578947367, 0.0, 0.07017543859649122, 0.24561403508771928, 0.15789473684210525]",clothing
Maharaja Timer Electric Tandoor,home  kitchen,"[0.6144578313253012, 0.5662650602409639, 0.43373493975903615, 0.3493975903614458, 0.5903614457831325, 0.5301204819277109, 0.6867469879518072, 0.46987951807228917, 0.7349397590361446, 0.7108433734939759, 0.5783132530120482, 0.5421686746987951, 0.4939759036144578, 0.6867469879518072, 0.0963855421686747, 0.46987951807228917, 0.4939759036144578, 0.5903614457831325, 0.7469879518072289, 0.7831325301204819, 0.6746987951807228, 0.43373493975903615, 0.4578313253012048, 0.42168674698795183, 0.6024096385542169, 0.0, 0.30120481927710846, 0.5180722891566265, 0.12048192771084337, 0.42168674698795183, 0.12048192771084337, 0.14457831325301204]",home  kitchen
First Smart Deal Plant Container Set,tools  hardware,"[0.6, 0.6, 0.8, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 0.2, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 0.2, 0.4, 0.8, 0.4, 0.2, 0.6, 0.0, 0.0, 0.6, 0.2]",pens  stationery
Rk Plant Container Set,tools  hardware,"[0.6, 0.6, 0.8, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 0.2, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 0.2, 0.4, 0.8, 0.4, 0.2, 0.6, 0.0, 0.0, 0.6, 0.2]",pens  stationery
Minerva Naturals Plant Container Set,tools  hardware,"[0.6, 0.6, 0.8, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 0.2, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 0.2, 0.4, 0.8, 0.4, 0.2, 0.6, 0.0, 0.0, 0.6, 0.2]",pens  stationery
Novicz Swm-Goggle-Lightblue-Prc-112015-193 Swimming Goggles,sports  fitness,"[0.8043478260869565, 0.5434782608695652, 0.6086956521739131, 0.43478260869565216, 0.6304347826086957, 0.9782608695652174, 0.6521739130434783, 0.6956521739130435, 0.6304347826086957, 0.717391304347826, 0.5652173913043478, 0.5652173913043478, 0.6304347826086957, 0.7608695652173914, 0.06521739130434782, 0.5434782608695652, 0.5652173913043478, 0.5434782608695652, 0.6521739130434783, 0.391304347826087, 0.7391304347826086, 0.391304347826087, 0.43478260869565216, 0.3695652173913043, 0.43478260869565216, 0.0, 0.391304347826087, 0.391304347826087, 0.17391304347826086, 0.30434782608695654, 0.2391304347826087, 0.10869565217391304]",sports  fitness
Saviour HPSAV VG W Saviour Vanguard -White Construction Helmet,tools  hardware,"[0.6363636363636364, 0.5151515151515151, 0.6060606060606061, 0.2727272727272727, 0.3333333333333333, 0.5454545454545454, 0.5757575757575758, 0.42424242424242425, 0.5454545454545454, 0.5757575757575758, 1.0, 0.36363636363636365, 0.45454545454545453, 0.5757575757575758, 0.030303030303030304, 0.36363636363636365, 0.3939393939393939, 0.42424242424242425, 0.5454545454545454, 0.24242424242424243, 0.48484848484848486, 0.18181818181818182, 0.30303030303030304, 0.18181818181818182, 0.30303030303030304, 0.0, 0.15151515151515152, 0.18181818181818182, 0.09090909090909091, 0.15151515151515152, 0.12121212121212122, 0.0]",tools  hardware
Go Hooked Plant Container Set,tools  hardware,"[0.6, 0.6, 0.8, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 1.0, 0.6, 0.2, 0.6, 0.8, 0.6, 0.8, 0.6, 0.6, 0.6, 0.2, 0.4, 0.8, 0.4, 0.2, 0.6, 0.0, 0.0, 0.6, 0.2]",pens  stationery
